City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bengkulu,ID,85.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1,Faanui,PF,80.38,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
2,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
6,Kushmurun,KZ,80.69,scattered clouds,52.4503,64.6311,Gostinitsa Pri Depo
7,Sueyoshi,JP,81.57,broken clouds,31.65,131.0167,深川熊野神社 駐車場
11,Nishihara,JP,78.85,moderate rain,26.1842,127.7558,Minshuku Agaihama
14,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Rikitea,PF,75.24,overcast clouds,-23.1203,-134.9692,People ThankYou
19,Lingao,CN,89.06,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
21,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
23,Shingu,JP,76.91,scattered clouds,33.7333,135.9833,Shingu UI Hotel
26,Pringsewu,ID,86.11,overcast clouds,-5.3582,104.9744,Urban Style by Front One
39,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
45,Butaritari,KI,82.29,light rain,3.0707,172.7902,Isles Sunset Lodge
47,Tabuk,PH,89.89,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
52,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
56,Saint Peter,BB,79.36,overcast clouds,13.25,-59.6167,Legend Garden Condos
61,Ponorogo,ID,85.73,overcast clouds,-7.8685,111.462,Kencana Dewi Hotel
63,Badiraguato,MX,80.71,overcast clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
72,Saint-Philippe,RE,76.48,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
74,Lorengau,PG,85.32,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
75,Airai,TL,75.22,broken clouds,-8.9266,125.4092,Juvinal Martin
76,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
