City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bengkulu,ID,-3.8004,102.2655,85.44,62,99,6.55,overcast clouds
1,Faanui,PF,-16.4833,-151.75,80.38,78,81,15.37,broken clouds
2,Hilo,US,19.7297,-155.09,76.28,85,90,4.61,light rain
3,Waipawa,NZ,-41.4122,175.5153,56.03,88,100,5.68,light rain
4,Geraldton,AU,-28.7667,114.6,70.21,64,40,18.41,scattered clouds
5,Vardo,NO,70.3705,31.1107,52.0,71,40,4.61,scattered clouds
6,Kushmurun,KZ,52.4503,64.6311,80.69,30,27,2.33,scattered clouds
7,Sueyoshi,JP,31.65,131.0167,81.57,75,81,5.79,broken clouds
8,Evanston,US,42.0411,-87.6901,74.97,51,1,3.0,clear sky
9,Albany,US,42.6001,-73.9662,67.32,84,90,5.59,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,37.06,65,90,9.22,overcast clouds
11,Nishihara,JP,26.1842,127.7558,78.85,91,90,0.0,moderate rain
12,Bethel,US,41.3712,-73.414,65.39,80,92,4.05,overcast clouds
13,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,10.36,overcast clouds
14,Kapaa,US,22.0752,-159.319,80.58,78,20,12.66,few clouds
15,Punta Arenas,CL,-53.15,-70.9167,37.51,87,75,16.11,light rain
16,Cape Town,ZA,-33.9258,18.4232,52.88,97,75,1.01,broken clouds
17,Bluff,NZ,-46.6,168.3333,49.8,89,99,5.79,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,75.24,78,100,14.18,overcast clouds
19,Lingao,CN,19.9103,109.6859,89.06,64,97,9.44,overcast clouds
20,Pecanha,BR,-18.5486,-42.5569,56.26,94,52,0.51,broken clouds
21,Mount Isa,AU,-20.7333,139.5,80.37,12,40,5.75,scattered clouds
22,Nha Trang,VN,12.25,109.1833,91.4,52,100,6.73,overcast clouds
23,Shingu,JP,33.7333,135.9833,76.91,78,49,4.63,scattered clouds
24,Castro,BR,-24.7911,-50.0119,43.92,97,4,3.71,clear sky
25,Faya,SA,18.3851,42.4509,73.51,9,83,10.54,broken clouds
26,Pringsewu,ID,-5.3582,104.9744,86.11,68,98,4.47,overcast clouds
27,Dikson,RU,73.5069,80.5464,33.06,99,100,10.58,overcast clouds
28,Qaanaaq,GL,77.484,-69.3632,29.26,74,46,2.59,scattered clouds
29,Vyazma,RU,55.2104,34.2951,66.72,78,61,1.61,broken clouds
30,Ostrovskoye,RU,57.8057,42.2433,70.07,69,12,6.13,few clouds
31,Cherskiy,RU,68.75,161.3,62.29,32,84,9.86,broken clouds
32,Bredasdorp,ZA,-34.5322,20.0403,47.28,93,1,5.75,clear sky
33,Lata,PT,40.1629,-8.3327,61.21,88,21,1.86,few clouds
34,Maceio,BR,-9.6658,-35.7353,72.84,94,20,5.75,few clouds
35,Sitka,US,57.0531,-135.33,58.89,63,20,10.36,few clouds
36,Vestmannaeyjar,IS,63.4427,-20.2734,42.33,84,100,5.7,light rain
37,Adrar,MR,20.5022,-10.0711,91.98,11,89,18.7,overcast clouds
38,East London,ZA,-33.0153,27.9116,59.94,82,20,9.22,few clouds
39,Vaini,TO,-21.2,-175.2,75.36,83,75,8.05,broken clouds
40,Walvis Bay,NA,-22.9575,14.5053,67.15,24,1,18.41,clear sky
41,Izhma,RU,65.0083,53.9113,74.71,45,100,9.24,overcast clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,72.41,74,97,7.85,overcast clouds
43,Ostrovnoy,RU,68.0531,39.5131,50.7,80,97,4.32,overcast clouds
44,Cloquet,US,46.7216,-92.4594,58.68,90,1,0.0,clear sky
45,Butaritari,KI,3.0707,172.7902,82.29,76,37,8.52,light rain
46,Ponta Do Sol,PT,32.6667,-17.1,68.63,66,69,4.52,broken clouds
47,Tabuk,PH,17.4189,121.4443,89.89,58,46,2.82,scattered clouds
48,Yerbogachen,RU,61.2767,108.0108,63.97,54,98,7.87,light rain
49,Tadine,NC,-21.55,167.8833,74.89,81,95,10.69,overcast clouds
50,Tasiilaq,GL,65.6145,-37.6368,33.96,91,94,4.45,overcast clouds
51,Bani Walid,LY,31.7566,13.9942,70.86,46,0,2.71,clear sky
52,Padang,ID,-0.9492,100.3543,86.05,80,23,4.07,few clouds
53,Marsabit,KE,2.3284,37.9899,66.0,58,67,13.6,broken clouds
54,Esperance,AU,-33.8667,121.9,57.04,61,65,31.03,broken clouds
55,Leningradskiy,RU,69.3833,178.4167,38.64,80,4,14.36,clear sky
56,Saint Peter,BB,13.25,-59.6167,79.36,82,98,21.07,overcast clouds
57,New Norfolk,AU,-42.7826,147.0587,56.66,81,99,1.23,overcast clouds
58,Goderich,CA,43.7501,-81.7165,62.91,88,59,2.3,broken clouds
59,Nikolskoye,RU,59.7035,30.7861,64.4,55,88,4.25,overcast clouds
